,cluster_x,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
142,0,22951.0,30,GARCH+LSTM,-1.8313709152217132,0.00031136391401738955,0.0002787874510075317,0.00025166903912681837,61.15553963895742,91.68109676763498,12.74428394335417
144,0,48219.0,4,GARCH+LSTM,-1.2080763882815182,0.0005434526459266915,0.0004453181963032544,0.00041472809476127565,40.66164681969305,54.253769160112,7.734532397489613
148,0,48219.0,12,GARCH+LSTM,-3.1397949856177467,0.00044140006887955174,0.00039244807689918244,0.0003745076141044596,56.911459167699554,82.96931270942568,10.694669891782823
152,0,48219.0,16,GARCH+LSTM,-0.2170864178172951,0.00032006796188266385,0.00024382862268476532,0.00019329169721124339,42.86448226243601,54.674923883169605,6.420865844974835
154,0,48219.0,20,GARCH+LSTM,-0.3949995270755706,0.00025106223276261206,0.00018671363105692484,0.00014206956005234953,36.29036324976717,45.623379051387346,5.327829493536809
160,0,48219.0,29,GARCH+LSTM,-0.2205552476982826,0.00029204935607108853,0.0002167416078350584,0.00016242759685516743,39.490530728018946,51.463762523948986,6.853279086775638
162,0,48219.0,38,GARCH+LSTM,-0.49469276445491106,0.00023694311457540338,0.00018669776989482586,0.00015437159964662876,42.24280281178765,56.931141223149275,6.321735133134717
176,0,104919.0,9,GARCH+LSTM,-0.2040892071586673,0.000346794691467566,0.0002839863684680201,0.0002478964875063127,28.59936526857118,32.929326391562185,6.817301357773791
24,1,9323.0,2,GARCH+LSTM,-0.5382295202585716,0.0003372788398728041,0.0002842123637609062,0.0002628547113022588,45.28158195463781,61.96798163899607,8.784166029692459
30,1,9323.0,11,GARCH+LSTM,-1.645314520562819,0.0003810963335945747,0.00034068380473075403,0.0003289160155973753,59.86719747061058,90.59892840400727,17.229912609095095
32,1,9323.0,17,GARCH+LSTM,-0.458315275810814,0.00022709908327531322,0.0001828927698478849,0.00016643466061468868,34.449565990725084,45.25055173012518,6.426497505253128
